PDB,dsx,glide,rf_score,vina,HMScore,Experimental
1ua4,-124.258,-12.43,-7.8481764906,-8.73101,-8.634694099,-5.830145456
1dhj,-126.664,-9.81,-9.5785810318,-8.47767,-9.242576563,-9.049159416
2f81,-197.797,-10.49,-10.7650573397,-9.78064,-11.52213581,-14.53391711
2il2,-223.832,-13.3,-10.1471460668,-12.0143,-12.97276441,-9.809012496
1gi9,-97.222,-9.13,-8.9533133783,-7.07778,-7.957734081,-7.211696511
1rgk,-79.55,-7.88,-7.2683622752,-5.83832,-7.584715296,-5.954485051
1rgl,-69.337,-7.49,-7.3005843878,-5.01802,-7.17024998,-6.120271177
1hpo,-149.565,-7.83,-10.7739881462,-10.80092,-10.98333089,-12.73790073
1gi1,-94.884,-8.59,-6.8330457287,-7.53724,-7.888656529,-7.557084275
1y2g,-67.841,-4.74,-6.9871783466,-6.31161,-9.270207584,-5.636728308
1gi7,-58.037,-6.02,-6.948558907,-5.46374,-7.211696511,-6.230795262
1gi6,-90.061,-9.74,-7.7694894607,-7.0259,-7.902472039,-8.593247567
7upj,-145.033,-7.85,-10.1555553903,-10.41652,-10.81754477,-11.72936846
1gi4,-88.801,-9.1,-7.0579364097,-6.92936,-8.537985525,-9.933352091
1lkk,-159.795,-9.91,-7.8219897708,-6.04839,-9.394547179,-9.463624732
1hpv,-184.363,-10.29,-10.976620108,-9.12185,-11.41161172,-12.73790073
1w3j,-67.093,-6.06,-7.4686098342,-4.89904,-7.294589575,-8.731402673
1hps,-240.832,-13.02,-11.3508827364,-9.98872,-12.88987135,-12.73790073
1qxk,-165.655,-9.37,-7.9390769355,-8.45316,-9.739934943,-6.976832832
1lah,-75.055,-8.2,-7.791709968,-5.65349,-7.322220596,-10.38926394
1ksn,-175.281,-10.43,-11.1040876991,-10.00556,-10.87280681,-12.98657992
1abf,-57.354,-7.77,-6.258713676,-6.54436,-7.957734081,-7.488006722
1dqx,-109.493,-11.66,-7.4687408608,-8.65999,-9.366916158,-15.26613917
1amw,-93.409,-7.87,-6.8367416643,-5.80957,-7.570899786,-6.272241793
1li3,-53.177,-7.6,-6.5864967956,-6.01335,-7.736685912,-5.871591987
1k1n,-138.275,-10.23,-10.7793203311,-6.74736,-9.518886774,-9.422178201
1c5c,-92.016,-10.56,-9.18815242,-8.69531,-9.919536581,-9.615595348
1v2q,-103.893,-8.33,-8.9064644673,-5.59686,-8.095889187,-5.70580586
1izi,-243.788,-13.93,-11.1918976289,-9.79369,-12.50303706,-9.104421458
1c5z,-69.327,-8.5,-6.4214731884,-4.9631,-6.976832832,-5.540019734
1c5y,-74.108,-8.52,-7.001802525,-5.91538,-7.488006722,-5.802514434
1c5x,-81.867,-7.6,-6.9518691252,-5.62534,-8.095889187,-9.228761053
1dqn,-114.092,-9.3,-7.0218953717,-7.23738,-9.076790437,-11.05240845
2hb3,-205.585,-11.23,-14.3229818918,-9.93319,-11.49450478,-15.68060448
1c5s,-71.214,-8.59,-6.5229794944,-5.388,-7.322220596,-8.289306335
1v2w,-125.618,-8.91,-9.2137226063,-6.17915,-8.42746144,-5.540019734
1c5q,-72.468,-7.15,-6.4409766105,-5.78434,-8.054442655,-8.786664715
1c5p,-64.867,-8.6,-6.4913696063,-5.40224,-6.990648342,-6.465658941
1c5t,-71.78,-9.72,-6.6777454489,-6.00508,-7.460375701,-5.664359329
1oba,-41.302,-5.39,-4.7508377276,-1.80954,-5.69199035,-3.370984576
1bgq,-100.004,-8.98,-9.1061604485,-10.64434,-9.463624732,-11.83989255
1v2t,-126.632,-9.13,-9.2406771279,-6.45492,-8.524170014,-6.507105473
1tnh,-67.71,-7.99,-5.5542852113,-4.27165,-6.700522621,-4.655827058
1ecv,-78.101,-10.84,-7.2566489553,-6.99845,-9.049159415,-6.700522621
2cji,-161.492,-7.13,-10.8527020176,-9.21417,-9.1596835,-11.35634968
1hyo,-51.698,-7.07,-7.659357665,-5.49381,-7.211696511,-5.622912797
1ecq,-66.843,-4.1,-6.6450839967,-5.35733,-7.322220596,-4.144653167
1tnj,-71.349,-7.46,-6.2119536115,-3.92523,-6.631445068,-2.707840069
1sdt,-230.085,-12.35,-11.123190174,-11.65237,-12.39251297,-12.80697829
1sdu,-224.502,-11.7,-10.5735704776,-11.22555,-12.65500767,-13.91221913
1sdv,-228.001,-12.07,-11.1425447175,-11.58753,-11.97804765,-12.07475623
9abp,-64.308,-6.8,-6.1980724332,-6.61245,-7.819578976,-11.05240845
1q95,-98.2,-12.35,-8.3896934419,-8.16982,-8.703771652,-10.45834149
1hbv,-202.07,-11.86,-10.1612133143,-9.25326,-12.21291133,-8.800480225
1ent,-193.433,-11.08,-9.6520126269,-8.95048,-11.81226153,-9.615595348
1pyn,-150.09,-8.59,-8.1115717437,-7.35615,-10.472157,-7.584715296
1xka,-140.862,-11.13,-9.4225524139,-7.56885,-9.698488412,-9.505071264
2gvv,-75.235,-5.33,-7.8672991481,-6.23339,-8.316937356,-5.388049118
1zhy,-162.727,-10.35,-10.8612132295,-10.96102,-11.95041663,-9.007712884
1g7g,-190.184,-10.23,-8.1129118799,-8.05566,-10.18203128,-9.118236968
1h9z,-94.076,-7.16,-10.0119855528,-9.31455,-9.753750454,-7.488006722
1nl9,-166.279,-8.08,-8.4529970658,-8.57352,-10.78991375,-8.234044293
1xpz,-74.659,-5.84,-9.6344678548,-6.03486,-9.076790437,-9.781381475
1zp8,-207.675,-7.55,-12.093042057,-9.36476,-11.92278561,-12.11620276
1g7v,-113.093,-7.97,-7.8195856592,-5.38128,-7.943918571,-8.841926757
1w3l,-111.977,-6.17,-8.0188306221,-7.02393,-8.303121845,-8.67614063
1mai,-87.773,-8.66,-7.7457575958,-4.82129,-7.764316934,-9.228761053
1uv6,-76.652,-7.59,-7.5205678605,-3.89445,-6.520920983,-7.073541406
1apv,-160.822,-9.57,-10.1544102599,-8.95047,-10.83136028,-12.4339595
1xk9,-95.443,-6.3,-7.8277050486,-8.81179,-9.062974926,-9.463624732
1s63,-70.052,-4.15,-9.9847914494,-5.76103,-8.759033694,-12.50303706
2pcp,-118.153,-7.71,-8.2320108994,-9.38152,-9.809012496,-12.01949419
2avv,-219.954,-11.03,-11.4002706766,-11.23941,-12.76553176,-12.79316278
2avq,-270.168,-14.87,-9.6160145175,-8.67783,-12.62737665,-6.065009135
1y3n,-110.34,-9.8,-6.8644526539,-9.66766,-9.104421458,-7.66760836
2avs,-225.877,-11.89,-10.8074164174,-11.18116,-12.15764929,-10.45834149
1kel,-92.599,-8.94,-7.6308230379,-6.8253,-8.993897373,-10.05769169
4tmk,-216.925,-16.21,-8.6356437835,-11.19335,-11.92278561,-10.63794313
1v2k,-165.231,-7.46,-8.456224807,-10.98449,-9.850459028,-8.551801035
2avo,-234.575,-10.83,-10.8877706505,-10.67041,-12.48922154,-12.22672684
1y3p,-197.976,-11.08,-7.720749108,-12.99142,-11.43924274,-6.659076089
1nz7,-194.994,-9.94,-9.6614729748,-8.30074,-10.87280681,-9.836643517
1o2o,-110.54,-8.89,-8.6103300486,-7.40705,-8.745218183,-8.786664715
1qpb,-22.424,-3.83,-6.9000911001,-3.4784,-6.272241793,-1.878909436
1xk5,-122.464,-9.91,-8.0503990089,-6.75194,-8.372199398,-8.289306335
2gv7,-186.839,-10.51,-10.2291475065,-9.02937,-12.18528031,-10.84517579
1g85,-60.3,-3.53,-5.4341867979,-4.25701,-7.501822233,-7.570899786
1iiq,-237.918,-14.87,-10.9421099086,-10.20216,-13.0832885,-10.3340019
2avm,-260.416,-14.39,-9.4737133443,-8.39598,-12.21291133,-7.874841018
1hpx,-183.284,-10.23,-12.9645059622,-9.28798,-11.96423214,-15.55626489
2c4v,-60.878,-9.8,-6.5195409254,-6.40765,-7.819578976,-3.592032745
2aoe,-259.874,-13.98,-9.4430880667,-7.71751,-12.86224033,-10.52741905
1fl3,-145.359,-10.46,-10.0976849968,-11.20416,-10.18203128,-9.394547179
1v2n,-136.276,-12.3,-9.3220929289,-9.85236,-10.3340019,-8.151151229
5tmp,-251.622,-16.5,-8.2874967332,-11.26816,-12.0333097,-10.32018639
1i7z,-127.47,-8.02,-9.4693753646,-9.55847,-9.684672901,-8.841926757
1apb,-62.93,-7.92,-6.1677906432,-6.72414,-7.888656529,-8.040627145
1f0s,-121.103,-7.42,-9.6652416171,-8.7878,-8.772849204,-10.69320517
1v2l,-66.283,-7.44,-6.3805213178,-5.05404,-6.949201811,-5.926854029
1nli,-56.722,-8.67,-5.3945770752,-5.64805,-7.142618958,-4.95976829
1f0t,-143.534,-9.87,-9.32189206,-7.78374,-9.118236968,-8.289306335
1aj7,-90.7,-8.65,-7.3265772098,-5.83883,-8.261675314,-5.346602586
1cnx,-96.925,-6.08,-9.3676037654,-4.90552,-7.557084275,-10.18203128
1cny,-98.477,-5.47,-9.0728806471,-4.86265,-7.971549592,-10.84517579
1cnw,-93.475,-5.11,-9.0149206659,-4.2715,-6.893939768,-10.66557415
1ai7,-47.551,-5.85,-5.9804720362,-5.466,-7.239327532,-5.650543818
1byk,-144.674,-8.13,-7.2046381011,-8.95607,-9.947167602,-6.907755279
2fgu,-215.348,-12.54,-11.7831445107,-11.53216,-13.33196769,-12.68263869
1uto,-61.022,-6.83,-6.2834631998,-4.36321,-6.479474452,-3.136120897
1nq7,-138.653,-10.43,-11.0818702636,-10.58,-12.11620276,-9.394547179
1sh9,-228.869,-12.54,-11.4965098753,-9.17817,-11.6464754,-8.330752867
1q1g,-105.009,-8.89,-9.659224526,-8.97905,-8.316937356,-11.83989255
1thz,-98.336,-7.96,-8.8525062146,-8.68117,-10.29255537,-7.114987937
1gny,-128.294,-7.38,-6.9673260844,-5.51263,-7.557084275,-5.719621371
2ihq,-141.009,-12.53,-11.8196533085,-11.83468,-10.52741905,-11.72936846
1p28,-26.442,-4.94,-6.0008359837,-2.79949,-6.244610772,-7.488006722
2gv6,-145.816,-10.1,-10.806005592,-8.21511,-10.27873986,-10.14058475
4std,-122.36,-10.15,-9.7858038506,-11.24276,-10.44452598,-14.27142241
1gnn,-203.274,-12.64,-10.2480931383,-8.67512,-11.32871866,-7.847209997
1gno,-186.651,-10.98,-10.1457684931,-8.24065,-10.74846721,-10.63794313
1gnm,-206.569,-11.7,-10.1031477312,-8.36647,-10.01624515,-8.634694099
1jyq,-214.263,-11.9,-8.4704798811,-8.03666,-11.42542723,-12.01949419
1ogx,-87.244,-9.37,-9.831805718,-9.22745,-9.767565964,-8.41364593
1vwn,-162.291,-12.34,-10.6266125689,-10.69032,-11.19056355,-8.040627145
1bhx,-157.574,-11.87,-10.1865938792,-9.2708,-10.03006067,-9.449809222
2jxr,-199.435,-11.9,-10.147892117,-10.0558,-11.52213581,-9.739934943
2a5b,-89.636,-11.36,-6.8475427212,-7.4232,-8.137335719,-5.429495649
2a5c,-103.969,-9.38,-7.2303346972,-7.57642,-8.054442655,-6.382765878
1fzq,-131.735,-8.39,-7.7973146865,-7.42619,-8.537985525,-10.52741905
1aid,-115.028,-7.32,-9.2135115909,-8.63858,-10.48597251,-6.659076089
1egh,-55.402,-8.97,-5.6769847624,-3.7364,-7.045910385,-7.874841018
1h0a,-76.364,-8.83,-7.1588688019,-6.21684,-8.786664715,-7.515637744
1hxb,-225.016,-12.56,-11.0707433997,-11.67487,-13.66353994,-13.70498647
1onz,-120.159,-8.36,-7.8375579155,-9.23842,-9.864274538,-7.045910385
1dzk,-57.906,-6.07,-7.4806378909,-5.0039,-7.059725895,-8.42746144
1ony,-163.044,-8.65,-8.549611757,-8.07171,-9.753750454,-9.353100648
1w4p,-107.863,-9.89,-5.5408628867,-6.08041,-7.943918571,-6.548552005
1w4q,-106.519,-9.42,-5.5748010832,-6.42853,-8.095889187,-7.266958554
1nfw,-148.373,-7.36,-11.1130272226,-9.79338,-9.325469627,-12.37869746
1nfu,-154.922,-9.17,-10.9907337047,-9.86982,-10.16821577,-10.69320517
1lbf,-110.529,-8.27,-7.7133777262,-7.43794,-9.712303922,-10.84517579
4rsk,-92.124,-7.79,-5.2443396626,-5.75171,-7.41892917,-5.968300561
1fhd,-106.088,-7.82,-6.7400203859,-7.88643,-8.524170014,-9.422178201
1z6e,-203.687,-8.55,-11.5263522992,-11.10612,-10.37544843,-13.42867626
1nfx,-158.457,-7.64,-10.9665699162,-9.88077,-9.256392074,-11.770815
1z6s,-69.95,-7.4,-6.3814350725,-5.86915,-7.68142387,-5.995931582
1wcq,-91.338,-7.36,-6.9830219625,-6.99687,-8.040627145,-8.648509609
1g4o,-83.76,-6.31,-9.6620195038,-6.23838,-8.772849204,-11.39779621
1g4j,-84.976,-6.12,-10.2744823753,-6.33425,-7.971549592,-12.01949419
1bp0,-90.231,-9.83,-6.919459393,-7.32468,-8.358383888,-7.460375701
1m9n,-162.933,-12.58,-7.4082846913,-10.43432,-9.974798623,-9.560333306
1f3e,-69.089,-10.61,-6.9154168888,-7.67158,-8.068258166,-9.256392074
4fiv,-303.404,-17.09,-10.1988376568,-11.81458,-15.36284774,-9.007712884
1uz4,-73.862,-9.72,-7.2430205349,-6.51475,-7.349851617,-4.69727359
1nh0,-251.998,-14.59,-11.2607699354,-9.68536,-12.13001827,-13.45630728
1mes,-217.008,-12.46,-12.3490218717,-11.27055,-12.80697829,-10.63794313
1g3b,-84.225,-10.32,-6.717235234,-5.28371,-8.399830419,-7.93010306
1g3e,-91.942,-7.95,-6.9179636217,-6.53093,-8.206413271,-7.43274468
1g3d,-83.576,-7.96,-6.7406651557,-6.52066,-8.261675314,-7.66760836
2g00,-192.431,-10.47,-12.1431121503,-12.51422,-11.97804765,-13.45630728
5std,-134.123,-11,-10.1814724229,-13.34954,-11.770815,-14.49247058
1g36,-145.12,-10.37,-10.153722064,-9.45289,-9.560333306,-9.90572107
1k4h,-106.656,-11.18,-8.3481691596,-8.01635,-8.869557778,-7.059725895
1pro,-240.758,-11.96,-11.9367164495,-11.11919,-12.1714648,-15.61152693
1n1m,-81.972,-8.09,-7.4158283341,-6.27533,-7.91628755,-7.874841018
1lor,-112.781,-11.27,-6.9533068222,-9.16771,-9.546517796,-15.27995468
1kyv,-120.05,-10.9,-7.4725265208,-8.82754,-9.380731669,-8.17878225
2bjm,-74.039,-7.16,-6.7105975003,-8.89653,-9.228761053,-5.111738906
1g48,-68.868,-5.49,-9.3656000007,-5.82207,-8.399830419,-11.61884438
1g45,-81.974,-6.28,-10.0882345564,-6.18733,-8.620878588,-11.93660112
1nf8,-104.666,-10.9,-7.5091193713,-8.83071,-8.67614063,-10.80372926
1fao,-106.679,-7.89,-7.5514801519,-5.22699,-8.634694099,-10.18203128
2h4g,-106.213,-7.97,-7.2557117554,-6.8327,-9.449809222,-9.007712884
1tni,-62.334,-5.2,-6.001330265,-2.89459,-6.617629557,-5.526204223
1iih,-43.012,-7.54,-5.8824902152,-3.92131,-7.114987937,-3.992682551
2ypi,-51.809,-7.43,-5.8794556363,-3.33212,-6.838677726,-6.659076089
1hos,-220.026,-10.36,-11.1292523472,-9.22208,-12.54448359,-11.81226153
1f0r,-139.043,-7.58,-10.4351610978,-9.29752,-9.076790437,-10.58268109
1rbo,-96.502,-7.32,-7.6055795202,-6.18522,-8.786664715,-17.57332943
1joc,-67.487,-7.09,-6.1497665271,-4.20453,-7.045910385,-6.382765878
1a1c,-122.424,-8.4,-8.5238324907,-5.56902,-9.035343905,-8.841926757
1dfo,-161.311,-12.36,-8.2876601251,-9.44602,-10.87280681,-9.256392074
1tcw,-119.974,-6.94,-9.7902019301,-5.52886,-10.26492434,-8.316937356
2bpy,-221.448,-10.7,-10.7362223229,-11.19165,-12.26817338,-10.22347781
1m0o,-120.173,-8.83,-8.3411165973,-7.74008,-10.11295373,-3.191382939
1i80,-59.267,-7.4,-7.705692368,-5.93487,-7.253143043,-8.855742268
1rbp,-143.354,-9.37,-9.5069325242,-10.50112,-10.32018639,-9.284023095
1no6,-124.54,-9.18,-8.3742278045,-9.46126,-9.988614133,-6.092640156
1g35,-244.998,-13.08,-13.2361336363,-10.87776,-12.75171625,-11.24582559
2hb1,-85.564,-8.36,-6.9314947188,-5.51322,-7.91628755,-5.249894012
1tcx,-201.338,-10.59,-10.8235548211,-10.25517,-12.59974563,-9.601779838
1ciz,-196.597,-7.14,-10.2907819146,-10.12719,-11.45305825,-10.27873986
456c,-160.384,-7.92,-9.3432905677,-8.77632,-10.01624515,-13.49775382
1gjd,-105.16,-9.35,-8.1836021631,-8.45346,-9.587964327,-7.211696511
1gjb,-127.864,-10.03,-9.475005859,-8.47253,-9.076790437,-8.772849204
1gjc,-124.847,-9.95,-9.440746156,-8.47151,-9.311654116,-8.772849204
1ajv,-230.322,-10.08,-13.4921944537,-10.77341,-12.06094072,-10.66557415
1gja,-100.766,-10.22,-8.1080833588,-7.98797,-8.468907972,-7.488006722
1ajx,-214.59,-8.87,-12.2499835421,-10.77111,-12.42014399,-10.92806885
1rpj,-93.674,-6.96,-6.5736471142,-7.97443,-8.482723483,-8.952450842
1ody,-276.286,-15.08,-11.5512415352,-10.92961,-14.07800526,-11.19056355
1fv0,-120.173,-6.36,-8.5227432097,-9.13913,-9.698488412,-8.192597761
1zoh,-62.465,-5.37,-8.5346997359,-6.937,-8.841926757,-9.670857391
2csn,-71.732,-8.29,-7.4292036113,-6.12373,-8.095889187,-6.092640156
1ydk,-117.65,-7.98,-8.6979751883,-5.18071,-8.234044293,-8.137335719
1ajn,-69.193,-8.13,-7.347925994,-6.03654,-8.012996124,-3.633479277
1zog,-52.846,-5.74,-8.6382129093,-6.51706,-8.703771652,-9.878090049
1mmq,-160.313,-7.76,-8.6403722,-7.90035,-9.505071264,-10.38926394
1p1n,-92.018,-8.23,-8.7832188955,-7.55423,-8.123520208,-9.394547179
1p1o,-90.852,-9.58,-7.1836546946,-7.89615,-8.054442655,-7.957734081
2aod,-265.132,-15.02,-9.718193913,-8.39856,-12.39251297,-7.819578976
1hxw,-228.126,-13.06,-11.6722334988,-9.52515,-11.89515459,-14.94838242
1ocq,-93.13,-7.62,-7.1343090435,-7.22339,-7.874841018,-7.17024998
1h46,-104.75,-4.78,-9.0048040773,-7.70927,-8.303121845,-4.932137269
7std,-106.568,-8.76,-9.5353834151,-9.98264,-10.52741905,-14.81022732
1sld,-167.625,-12.84,-10.5115909601,-11.13097,-11.2596411,-9.076790437
1sle,-151.699,-8.66,-9.8963900055,-10.61698,-10.52741905,-8.524170014
1e6q,-66.423,-9.64,-7.3094727909,-6.42388,-7.764316934,-4.351885826
1e6s,-74.711,-7.28,-7.141124937,-6.84558,-7.639977339,-4.4485944
1od8,-101.026,-7.75,-6.9631778676,-7.53046,-8.040627145,-7.045910385
1d4y,-173.106,-11.27,-11.9109715079,-10.49903,-12.10238725,-15.33521672
1ai4,-64.693,-8.43,-7.6336799737,-5.62132,-7.460375701,-3.45387764
1gj6,-126.55,-9.12,-8.3537170081,-9.23377,-9.560333306,-9.670857391
1gj7,-135.911,-9.33,-8.8177963561,-8.95061,-9.353100648,-10.90043783
1a1e,-120.361,-8.21,-8.4882147229,-5.66383,-9.187314521,-8.289306335
1gaf,-92.913,-9.64,-6.8207756173,-6.0733,-8.607063078,-11.05240845
1gai,-185.585,-8.43,-8.0754732614,-8.90339,-10.40307945,-11.05240845
1gj8,-120.762,-8.78,-8.6648238641,-7.72998,-8.703771652,-9.615595348
1dy4,-107.342,-7.87,-9.3895198631,-8.67726,-9.380731669,-6.023562603
1bdq,-191.949,-9.03,-10.5154256471,-8.56402,-11.49450478,-8.759033694
1lyb,-212.586,-12.23,-9.5790830458,-8.39308,-12.37869746,-15.77731306
1vwl,-171.009,-11.7,-10.309159238,-8.80522,-10.67938966,-7.778132444
1ado,-51.411,-6.53,-5.8744984194,-3.9531,-6.341319346,-8.289306335
1lyx,-51.541,-7.89,-5.3691220603,-3.59658,-7.114987937,-6.272241793
1y0l,-102.01,-10.36,-8.0210725941,-7.94293,-8.42746144,-12.4339595
1fdq,-139.404,-8,-10.4039865972,-7.24814,-9.974798623,-10.04387618
2fgv,-228.686,-12.28,-11.739059677,-11.25795,-13.53920035,-8.455092462
1gt1,-85.964,-8.56,-8.4567408361,-9.40025,-9.505071264,-8.289306335
1tys,-105.339,-11.56,-6.6451884155,-9.54437,-9.132052479,-7.584715296
1o2w,-95.365,-7.09,-8.7883228688,-6.21677,-8.068258166,-8.082073676
1qy1,-63.899,-6.92,-7.688581456,-5.59078,-7.239327532,-9.007712884
1lkl,-134.749,-8.03,-7.2157166713,-5.45807,-8.17878225,-8.026811634
1qy2,-56.613,-6.98,-7.6393382343,-5.16362,-7.087356916,-7.93010306
1uwf,-76.04,-6.25,-7.2618857798,-6.37329,-7.971549592,-9.422178201
1f0u,-157.297,-9.17,-8.7299338741,-7.9549,-10.30637088,-9.89190556
1met,-220.721,-14.13,-12.6826710568,-12.60829,-13.84314158,-12.98657992
1alw,-50.679,-6.28,-6.4212443593,-5.07386,-7.18406549,-9.007712884
2f5t,-141.878,-9.66,-7.6174223434,-10.26456,-9.878090049,-7.142618959
1jlr,-143.699,-11.16,-7.8178393002,-8.69393,-9.17349901,-4.600565016
1msm,-223.815,-12.52,-12.2915920474,-12.50631,-13.06947299,-14.47865506
2i3i,-163.218,-10.32,-9.4335834327,-8.42248,-10.34781741,-10.08532271
2f2h,-162.267,-8.72,-8.1188915083,-10.6108,-10.55505007,-7.874841018
3kiv,-36.536,-3.94,-5.5962035008,-3.30913,-6.589998536,-6.493289962
1ppl,-192.413,-10.79,-8.9656198129,-8.66515,-12.30961991,-11.81226153
1ppk,-159.718,-8.15,-8.4563269204,-8.09709,-10.87280681,-10.58268109
2fqw,-115.805,-10.52,-7.5100530649,-9.02593,-8.565616546,-9.228761053
1if8,-103.094,-6.7,-9.4947501894,-6.56715,-9.40836269,-13.31815218
1r9l,-68.303,-9.16,-7.7773501616,-4.34372,-6.769600173,-7.460375701
1hsh,-224.066,-12.04,-10.2994901557,-11.21007,-12.5582991,-13.01421095
1pph,-137.205,-9.6,-9.1622207375,-8.16774,-9.477440243,-8.17878225
11gs,-157.042,-10.2,-9.058589883,-6.9823,-10.05769169,-8.040627145
1r4w,-114.45,-9.15,-7.9228855634,-6.12229,-8.040627145,-5.595281776
1uw6,-92.818,-5.06,-8.3868468436,-6.7263,-8.040627145,-10.14058475
1e3v,-115.861,-7.62,-10.3662703771,-8.61269,-10.66557415,-5.995931582
1px4,-56.387,-5.63,-5.6060544203,-4.97504,-7.971549592,-4.46240991
3jdw,-69.274,-6.79,-6.5497974406,-4.95763,-6.714338131,-4.973583801
2gh7,-119.964,-13.52,-9.1089656094,-7.64171,-8.703771652,-17.96016373
2cex,-94.71,-9.13,-8.0716470667,-7.31454,-8.192597761,-6.493289962
1g98,-79.732,-8.53,-8.0374894618,-5.75843,-8.303121845,-7.874841018
1y6r,-123.125,-11.32,-9.7803335942,-10.0018,-9.187314521,-13.96748117
1o2s,-88.055,-9.64,-7.1843708967,-6.71949,-8.386014909,-7.557084275
1uj5,-74.833,-4.75,-6.0872899233,-5.69421,-7.543268765,-4.21373072
2d1n,-206.938,-11.9,-10.3555659686,-7.2071,-9.988614133,-11.2596411
1vkj,-159.638,-11.4,-6.4156023159,-9.92621,-10.09913822,-6.700522621
1siv,-235.129,-12.92,-9.4825534363,-8.9302,-11.99186316,-11.16293253
2fwp,-83.17,-8.43,-5.2440365107,-5.63073,-7.446560191,-4.034129083
1jqe,-120.329,-5.43,-9.5592767649,-8.25062,-10.40307945,-8.897188799
1jqy,-120.084,-6.64,-8.0325422202,-7.7175,-9.560333306,-6.797231195
2boh,-161.222,-6.17,-10.4658796297,-9.80439,-9.960983112,-11.770815
1w5y,-268.639,-15.22,-12.0512995459,-12.08834,-13.66353994,-11.71555295
1w5x,-266.512,-15.81,-12.0908077614,-12.39318,-13.15236605,-11.60502887
1w5w,-274.557,-15.63,-12.0664220037,-12.40733,-13.30433667,-12.15764929
1ulg,-42.434,-2.04,-5.6214163574,-3.73209,-6.355134857,-5.816329945
2f34,-115.927,-8.54,-8.3766124281,-7.71303,-8.607063078,-9.518886774
1agm,-186.39,-8.97,-8.2868283146,-8.90498,-10.51360353,-16.57861267
1moq,-99.734,-8.38,-7.7309610951,-6.48472,-8.441276951,-4.780166653
2aqu,-231.206,-13.2,-12.237751949,-9.9752,-13.29052116,-12.87605584
2b4l,-71.62,-8.45,-7.4312150894,-4.82543,-6.880124258,-6.589998536
1ow4,-98.03,-9.41,-9.477604121,-9.45687,-10.38926394,-7.847209997
2bfr,-150.546,-10.59,-7.0204611755,-7.19626,-8.966266352,-7.253143043
2bfq,-196.282,-12,-7.5466246137,-9.21968,-9.878090049,-9.518886774
1o3k,-90.706,-9,-7.500960815,-7.59446,-8.593247567,-9.353100648
1heg,-219.173,-12.94,-10.8094287405,-9.52389,-11.770815,-10.69320517
1v2s,-68.301,-8.48,-6.3565679856,-5.38933,-7.018279363,-5.761067903
1a4r,-130.917,-9.08,-7.450965036,-7.88176,-8.206413271,-9.201130032
1k1m,-137.903,-9.59,-10.1865425059,-8.70527,-9.850459028,-10.22347781
1k1l,-134.919,-9.65,-9.9811568205,-7.78948,-9.698488412,-9.532702285
1k1j,-150.599,-8.87,-11.2269431464,-8.06887,-10.23729332,-10.43071047
1k1i,-148.669,-10.38,-11.0148468467,-8.75578,-10.69320517,-9.090605947
1o2q,-130.321,-8.97,-7.7504053604,-8.45165,-9.518886774,-10.61031211
1q91,-147.953,-11.06,-8.160247552,-9.8165,-9.449809222,-5.733436882
2bo4,-60.153,-8.85,-6.4716030636,-4.68971,-7.197881001,-6.368950367
1o2x,-93.423,-7.45,-8.7806119718,-6.32399,-8.234044293,-8.082073676
1fkh,-142.679,-8.16,-9.3307810983,-8.09901,-11.10767049,-11.2596411
1swr,-122.154,-14.16,-8.9657696845,-7.65493,-8.759033694,-9.560333306
1o2n,-112.163,-8.29,-9.1053489254,-8.82707,-9.726119433,-8.41364593
1mfi,-84.271,-7.96,-6.5200601384,-7.85104,-8.482723483,-7.722870402
1koj,-78.803,-5.65,-7.699155134,-6.67161,-8.524170014,-9.256392074
1o2j,-105.661,-7.14,-8.7539673022,-7.08959,-8.537985525,-9.560333306
1o2k,-116.522,-8.51,-8.5656307081,-7.64858,-8.717587162,-9.560333306
1fkf,-193.741,-10.87,-9.5914289842,-11.8031,-13.35959871,-12.98657992
1fkg,-140.129,-8.98,-9.3135130917,-7.95229,-10.81754477,-11.05240845
2fzz,-201.524,-9.32,-12.201269156,-12.6504,-11.770815,-14.53391711
2dri,-74.245,-6.94,-6.4143658848,-6.93447,-8.275490824,-9.518886774
2h4k,-97.289,-8.04,-7.2513552448,-6.83741,-9.339285137,-7.584715296
1m1b,-34.776,-7.78,-8.0650791172,-4.68614,-7.488006722,-6.43802792
1bwa,-280.692,-16.12,-11.3431034439,-13.0746,-14.42339302,-10.49978802
1bwb,-302.379,-17.68,-10.6497195717,-14.87144,-15.26613917,-11.63265989
1xbo,-146.083,-11.02,-7.8331241419,-9.48787,-11.08003947,-8.344568377
2fzk,-85.16,-7.24,-7.7506779942,-7.01494,-8.897188799,-4.973583801
1gyy,-69.104,-6.69,-7.0222041416,-6.02393,-8.012996124,-5.028845843
1gyx,-57.004,-8.02,-6.4865125223,-5.28702,-7.861025507,-3.426246618
1n4h,-128.52,-10.14,-10.9601238673,-10.03993,-10.27873986,-9.049159416
1kzk,-223.013,-12.47,-12.219453438,-12.5992,-13.26289014,-14.35431547
2fzg,-112.416,-5.05,-7.4104004889,-7.00403,-9.256392074,-4.669642569
8abp,-62.977,-7.14,-6.738494773,-6.95264,-7.805763465,-11.05240845
1nw4,-105.662,-8.95,-10.5562247136,-8.94419,-8.068258166,-12.53066808
1bxq,-185.648,-11.7,-9.0006035385,-8.5934,-11.75699948,-10.19584679
