PDB,dsx,glide,glideXP,rf_score,vina,MMGBSA,HMScore,HPScore,HSScore,average,Experimental
1bv7,-282.36,-16.94,-16.74,-11.3664406043,-14.14102,-177.2830542,-15.00364447,-13.89840362,-13.05565748,-13.9951122,-12.84842482
1epo,-201.328,-10.46,-10.82,-10.9075284375,-10.51619,-116.778979,-11.09385498,-10.94188436,-10.74846721,-10.92806885,-10.9971464
1qiw,-151.184,-10.92,-13.98,-10.7133806637,-7.39508,-161.1851134,-11.57739785,-10.91425334,-9.546517796,-10.67938966,-10.69320517
2f8g,-192.532,-10.16,-9.95,-12.3954675161,-9.44976,-123.3452974,-11.23201008,-10.44452598,-10.3340019,-10.66557415,-12.01949419
1os5,-126.092,-6.49,-7.15,-9.2395460669,-8.6372,-99.08205991,-10.52741905,-9.822828007,-9.242576563,-9.864274538,-9.463624732
1lf2,-184.192,-10.24,-10.24,-10.0169392424,-9.22227,-109.3599063,-12.28198889,-11.10767049,-10.96951538,-11.45305825,-10.38926394
1lf9,-171.161,-8.71,-16.37,-8.6751757605,-9.28692,-99.10007186,-10.37544843,-9.850459028,-9.491255753,-9.90572107,-16.57861267
1vj9,-203.447,-10.89,-11.52,-10.6402072592,-8.21321,-81.55277294,-9.988614133,-9.933352091,-9.960983112,-9.960983112,-10.43071047
1v2j,-67.261,-8.83,-8.56,-6.2221915757,-5.37081,-42.86819609,-7.018279363,-7.018279363,-7.308405085,-7.114987937,-4.490040931
1cin,-82.928,-6.58,-4.36,-11.1081199532,-6.75682,-71.60466362,-8.220228782,-7.43274468,-7.405113659,-7.695239381,-12.06094072
1cim,-77.381,-7.46,-4.68,-11.0632913846,-6.54572,-66.06602627,-8.247859803,-7.43274468,-7.460375701,-7.709054891,-12.18528031
1cil,-89.069,-6.59,-4.8,-10.6975708732,-5.97761,-72.05701811,-8.344568377,-7.474191212,-7.722870402,-7.847209997,-13.02802646
1zpa,-217.231,-9.52,-10.49,-11.1118664894,-8.71083,-126.097673,-12.0333097,-10.5964966,-10.69320517,-11.10767049,-11.60502887
1dif,-270.325,-15.32,-14.36,-11.1497958543,-11.36882,-166.2598728,-14.395762,-13.15236605,-12.83460931,-13.45630728,-14.72733425
1y20,-66.776,-7.88,-9.31,-7.1306973011,-5.06266,-51.2286438,-7.515637744,-6.907755279,-7.114987937,-7.18406549,-7.349851617
1gzc,-81.898,-5.61,-8.25,-6.1976826698,-4.49544,-55.82281056,-6.852493237,-6.589998536,-6.382765878,-6.603814047,-4.821613185
1qb1,-154.754,-10.59,-12.58,-10.3792821269,-8.38117,-59.98916129,-9.822828007,-9.090605947,-8.938635331,-9.284023095,-9.353100648
1n8v,-91.134,-3.13,-6.99,-6.8896964051,-5.21775,-93.22074391,-8.17878225,-8.012996124,-7.142618958,-7.778132444,-8.330752867
1oss,-65.522,-7.87,-8.14,-6.3528562185,-4.73324,-43.17784901,-6.893939768,-6.949201811,-7.128803448,-6.990648342,-6.617629557
1fq5,-269.13,-17.31,-16.45,-10.8427133096,-14.62269,-182.0205273,-15.77731306,-13.33196769,-13.6082779,-14.24379139,-11.60502887
1j01,-105.28,-7.66,-10.48,-7.3725146442,-8.11127,-50.16718716,-8.289306335,-7.750501423,-7.68142387,-7.902472039,-8.938635331
1ec9,-60.805,-6.3,-9.78,-7.0937337951,-6.63466,-14.30925566,-7.43274468,-7.059725895,-6.893939768,-7.128803448,-4.282808273
1we2,-65.53,-7.15,-9.23,-6.0198856645,-5.48489,-55.02477805,-7.460375701,-6.976832832,-6.9353863,-7.128803448,-6.023562603
1jmf,-82.528,-8.32,-8.51,-7.0888623052,-6.53153,-54.09120379,-8.344568377,-7.709054891,-7.764316934,-7.93010306,-7.971549592
1jmg,-82.456,-9.84,-10.57,-6.9364943939,-7.07532,-61.81782799,-8.206413271,-7.612346317,-7.639977339,-7.819578976,-8.386014909
1uxb,-63.715,-3.47,-4.73,-5.9458101959,-3.61524,-49.8137759,-6.147902198,-6.092640156,-5.94066954,-6.051193624,-2.97033477
1uxa,-63.663,-3.61,-4.83,-5.8908018986,-3.53162,-50.1563056,-6.134086688,-6.065009135,-5.913038519,-6.037378114,-3.177567428
1jmi,-92.526,-9.23,-9.62,-7.0080061086,-7.86531,-73.44905775,-8.455092461,-7.833394486,-7.874841018,-8.054442655,-8.372199398
1ugx,-94.181,-6.46,-7.91,-5.8616438277,-6.40271,-65.20267542,-7.225512022,-6.990648342,-6.6728916,-6.963017321,-8.16496674
1jzs,-184.389,-9.23,-10.71,-7.7084387312,-7.22996,-121.5927219,-9.449809222,-9.076790437,-9.339285137,-9.297838606,-9.118236968
1t7j,-193.566,-10.09,-10.07,-12.6320606487,-8.99727,-125.868299,-10.5964966,-10.30637088,-10.34781741,-10.41689496,-12.01949419
1ofz,-40.958,-6.06,-6.79,-6.5347721417,-4.95237,-45.50804003,-7.073541406,-6.507105473,-6.68670711,-6.755784663,-6.382765878
2bt9,-71.569,-6.82,-6.89,-6.0039836231,-5.71067,-57.10274158,-7.43274468,-6.824862216,-6.963017321,-7.073541406,-8.551801035
1ct8,-136.362,-10.03,-10.16,-8.7949202491,-8.30772,-90.53424511,-10.472157,-9.587964327,-9.366916158,-9.809012496,-9.007712884
1hih,-227.172,-11.71,-11.97,-10.2058005282,-9.69495,-144.8266662,-11.75699948,-11.03859294,-11.52213581,-11.43924274,-11.121486
2arm,-78.678,-4.19,-3.21,-8.1957286003,-5.85495,-43.43734669,-7.266958553,-7.280774064,-7.363667127,-7.308405085,-11.23201008
2bvd,-108.619,-6.08,-7.99,-7.4756482008,-7.50464,-44.15905337,-7.736685912,-7.515637744,-7.239327532,-7.501822233,-8.289306335
1a99,-47.758,-7.39,-9.2,-8.5195160951,-3.90726,-60.72097079,-6.797231195,-6.6728916,-6.244610772,-6.576183026,-7.874841018
1sgu,-210.726,-11.02,-10.11,-10.6946667851,-10.49378,-130.3324562,-12.32343542,-11.30108764,-11.41161172,-11.67410642,-7.41892917
2j34,-152.826,-7.54,-6.89,-11.2724296623,-9.02821,-79.91335671,-9.021528394,-8.883373289,-9.214945542,-9.035343905,-10.80372926
1msn,-219.611,-11.54,-10.83,-12.0680595985,-11.80593,-139.9265979,-12.76553176,-12.01949419,-12.33725093,-12.37869746,-12.5582991
2aac,-68.644,-6.79,-8.37,-6.8888396589,-6.96306,-56.29491695,-7.66760836,-7.211696511,-7.308405085,-7.391298149,-3.067043344
1h1h,-91.578,-7.64,-11.71,-7.0969084297,-5.05173,-52.40654479,-7.93010306,-7.391298149,-7.294589575,-7.543268765,-7.211696511
1e4h,-40.717,-4.51,-4.85,-5.7914555768,-6.04796,-72.30324343,-8.689956141,-6.893939768,-7.639977339,-7.736685912,-11.61884438
1efy,-96.913,-9.3,-8.49,-9.3223309381,-8.79026,-65.33205612,-8.593247567,-8.565616546,-8.386014909,-8.524170014,-11.35634968
1g46,-82.825,-6.33,-5.52,-10.4434994894,-6.16585,-56.58059663,-8.42746144,-7.570899786,-7.543268765,-7.847209997,-12.15764929
1gcz,-84.794,-7.7,-8.1,-8.3776009512,-8.71325,-78.02611949,-9.007712884,-8.745218183,-8.123520208,-8.634694099,-7.087356916
1xhy,-94.941,-9.19,-8.53,-8.8221454123,-7.42089,-60.28794666,-8.386014909,-7.874841018,-7.778132444,-8.012996124,-8.537985525
1c84,-97.876,-10.84,-15.51,-7.3956294427,-8.33423,-53.9682455,-9.767565964,-8.883373289,-8.455092461,-9.035343905,-6.907755279
1c86,-98.916,-11.77,-17.81,-7.4975968392,-7.56636,-68.89815748,-8.607063078,-8.082073676,-7.819578976,-8.16496674,-6.493289962
1d6v,-127.732,-8.89,-10.58,-9.4873224401,-10.27217,-73.21213636,-10.87280681,-10.5964966,-9.463624732,-10.30637088,-8.524170014
5er2,-275.293,-13.22,-13.63,-11.2065031379,-9.3346,-148.0844117,-13.31815218,-12.50303706,-12.61356114,-12.80697829,-9.076790437
1c83,-88.212,-11.37,-13.97,-7.6023858584,-6.95659,-65.83555732,-8.814295736,-7.957734081,-7.66760836,-8.151151229,-6.700522621
2ans,-86.361,-7.6,-7.65,-9.3019019565,-8.32041,-72.44941207,-9.933352091,-9.145867989,-9.021528394,-9.366916158,-8.17878225
1pfu,-53.987,-5.38,-4.96,-7.5325732569,-3.65646,-53.23079611,-6.562367515,-6.382765878,-6.175533219,-6.368950367,-3.757818872
1eix,-113.793,-12.22,-16.24,-7.7602979206,-9.83736,-69.16084348,-9.601779838,-8.800480225,-8.841926757,-9.076790437,-15.27995468
1tvo,-112.986,-10.47,-8.49,-11.0316639591,-10.35428,-72.42032582,-9.339285137,-9.380731669,-9.104421458,-9.270207584,-9.463624732
1o0n,-96.756,-8.44,-9.26,-5.3896164336,-6.27693,-57.71496423,-7.639977339,-7.349851617,-7.280774064,-7.41892917,-5.650543818
1o0o,-63.265,-6.64,-8.22,-6.3777666822,-4.50266,-58.13074073,-7.197881001,-6.769600173,-6.631445068,-6.866308747,-7.045910385
1z3t,-92.318,-6.29,-10.45,-6.9947096102,-7.61843,-51.45895462,-8.040627145,-7.722870402,-7.543268765,-7.778132444,-5.44331116
1z3v,-93.677,-6.25,-10.05,-7.1246069877,-7.76082,-50.23600498,-8.316937356,-7.847209997,-7.736685912,-7.971549592,-5.678174839
1o0f,-74.932,-7.06,-7.36,-6.8038831228,-5.59431,-49.38073046,-7.653792849,-7.211696511,-7.087356916,-7.322220596,-7.322220596
1ezq,-186.869,-11.77,-13.25,-10.6577331844,-9.88738,-61.51851914,-11.6464754,-11.19056355,-10.25110883,-11.03859294,-12.50303706
1kmy,-67.916,-8.19,-8.89,-8.0667656073,-7.78335,-59.36205714,-9.062974926,-8.358383888,-8.220228782,-8.551801035,-7.045910385
2a31,-59.168,-6.68,-7.63,-7.1353645326,-5.13554,-57.55092543,-6.755784663,-6.493289962,-6.410396899,-6.548552004,-1.395366566
1h6h,-120.079,-6.39,-11.83,-7.0157900571,-5.31911,-64.46835323,-7.888656529,-7.142618958,-6.783415684,-7.266958553,-7.322220596
1hi3,-68.393,-7.65,-11.85,-7.3538093001,-5.10735,-68.89948093,-7.18406549,-6.880124258,-6.700522621,-6.92157079,-5.788698924
2fxv,-144.416,-9.89,-10.71,-7.125875215,-9.10572,-79.01207131,-8.869557778,-8.41364593,-8.316937356,-8.524170014,-7.391298149
1rd4,-138.678,-9.98,-8.14,-10.1477300658,-10.36315,-107.7051182,-10.80372926,-10.61031211,-10.03006067,-10.48597251,-10.69320517
1lee,-175.358,-10.14,-10.05,-10.007605944,-8.93058,-109.7448638,-12.11620276,-10.95569987,-10.88662232,-11.31490315,-10.69320517
1j4r,-135.933,-7.49,-8.86,-9.705005495,-7.32776,-107.5660284,-10.2096623,-8.952450842,-7.736685912,-8.966266352,-10.66557415
1sw2,-69.337,-8.71,-12.63,-7.8908869033,-4.84936,-46.3408256,-6.589998536,-6.327503836,-6.18934873,-6.368950367,-9.974798623
1afl,-104.536,-7.08,-7.11,-7.8448120848,-5.96615,-48.54441937,-7.639977339,-7.377482638,-7.128803448,-7.377482638,-8.67614063
7abp,-58.142,-8,-9.38,-6.3779228639,-7.02493,-66.99045905,-7.888656529,-7.18406549,-7.446560191,-7.501822233,-8.92481982
1afk,-97.85,-7.78,-9.33,-8.054086873,-6.39299,-68.68350596,-8.137335719,-7.66760836,-7.515637744,-7.778132444,-9.145867989
1nc3,-123.746,-10.71,-12.53,-7.0013995857,-9.70612,-99.0722098,-8.91100431,-8.455092461,-8.372199398,-8.579432057,-6.907755279
1bzy,-139.81,-9.55,-10.8,-8.6542693058,-8.44599,-69.48277757,-9.809012496,-9.076790437,-8.938635331,-9.284023095,-11.52213581
2fx6,-57.596,-7.16,-5.08,-6.7393572533,-6.14189,-19.63201321,-7.114987937,-6.990648342,-7.322220596,-7.142618958,-5.111738906
1dud,-100.966,-8.79,-9.89,-6.697733576,-6.68499,-58.00388492,-8.012996124,-7.557084275,-7.557084275,-7.709054891,-6.659076089
1c1r,-121.983,-10.09,-11.45,-9.5345447362,-7.36249,40.32134679,-8.92481982,-8.593247567,-8.980081863,-8.828111247,-10.54123456
1bq4,-68.079,-12.39,-17.93,-7.7021157747,-8.06808,-67.53487853,-9.132052479,-8.399830419,-8.441276951,-8.66232512,-7.211696511
1bzh,-147.163,-8.08,-7.44,-8.4538367303,-6.97174,-58.23739475,-9.850459028,-8.786664715,-8.745218183,-9.132052479,-9.353100648
1r1j,-133.905,-8.46,-9.07,-10.0842575314,-7.70855,-5.04738445,-10.44452598,-9.339285137,-8.993897373,-9.587964327,-11.93660112
1r1h,-142.795,-9.65,-13.34,-9.9144667488,-8.4879,-40.04262442,-11.35634968,-10.77609824,-10.32018639,-10.81754477,-12.32343542
1bzc,-159.814,-9.5,-12.42,-7.7522055874,-8.97866,-85.20052492,-10.52741905,-9.919536581,-9.132052479,-9.864274538,-6.797231195
1af6,-97.028,-6.31,-12.65,-7.414338792,-7.25445,-68.75646956,-8.261675314,-7.709054891,-7.612346317,-7.861025507,-2.514422922
3aid,-176.238,-8.19,-7.7,-10.3104577256,-4.12047,-120.2187034,-12.06094072,-10.51360353,-11.19056355,-11.2596411,-9.477440243
1dl7,-110.752,-8.86,-11.15,-7.6095841558,-4.70301,-62.0083162,-7.059725895,-7.101172427,-7.032094874,-7.059725895,-8.966266352
1drk,-77.241,-6.98,-9.76,-6.364680913,-6.87602,-62.74248507,-8.192597761,-7.363667127,-7.474191212,-7.68142387,-9.422178201
1drj,-74.556,-7.16,-9.79,-6.3754323945,-6.89798,-64.37673047,-8.275490824,-7.41892917,-7.543268765,-7.750501423,-10.22347781
2bmz,-63.464,-5.55,-7.17,-5.0621908119,-4.63631,-56.06293948,-6.700522621,-6.410396899,-6.216979751,-6.43802792,-5.111738906
1bcd,-38.731,-2.96,-2.58,-8.8241560194,-4.04829,-46.94435859,-6.507105473,-6.147902198,-6.065009135,-6.244610772,-12.01949419
1jak,-80.227,-7.73,-7.05,-7.0526770306,-7.31319,-55.88920592,-8.17878225,-7.833394486,-7.91628755,-7.971549592,-7.695239381
1jao,-132.285,-7.63,-8.21,-8.5554492512,-5.90285,-31.77633415,-8.247859803,-8.192597761,-8.109704698,-8.17878225,-8.17878225
1rdi,-33.902,-5.61,-3.23,-6.1778171914,-4.53546,-5.138020625,-6.589998536,-5.885407498,-5.802514434,-6.092640156,-2.845995175
1u1w,-82.202,-10.01,-7.64,-7.4568518851,-7.64438,-52.51810254,-8.192597761,-7.626161828,-7.584715296,-7.805763465,-8.082073676
1rdj,-24.763,-4.07,-4.24,-5.6277312176,-4.45801,-7.505248083,-6.617629557,-5.885407498,-5.830145455,-6.106455667,-2.293374753
1rdl,-26.432,-3.74,-5.19,-5.4827045073,-4.33047,-18.01624434,-6.272241793,-5.843960966,-5.774883413,-5.968300561,-3.094674365
1rdn,-33.264,-4.06,-4.56,-5.7691973109,-4.70168,-15.06983338,-6.258426283,-6.009747093,-6.065009135,-6.106455667,-2.542053943
2c80,-137.535,-10.38,-12.91,-8.6129971645,-5.8379,-105.6986437,-8.289306335,-7.819578976,-7.653792849,-7.91628755,-7.363667127
3gst,-159.984,-11.87,-17.49,-9.3015995822,-9.19559,-120.5779324,-11.08003947,-10.05769169,-9.601779838,-10.25110883,-9.284023095
1wht,-70.844,-7.14,-5.5,-7.5690736384,-5.69219,-2.405792307,-8.234044293,-7.819578976,-7.598530807,-7.888656529,-5.111738906
1fwv,-75.779,-6.59,-6.38,-6.1161652237,-3.75689,-45.40611591,-6.880124258,-6.548552004,-6.562367515,-6.659076089,-5.139369928
1duv,-112.295,-7.47,-10.67,-8.2392905024,-8.54876,-73.91198238,-9.380731669,-8.441276951,-8.41364593,-8.745218183,-16.30230246
2aj8,-95.716,-6.57,-5.41,-10.8829034364,-8.00778,-60.11788022,-8.358383888,-8.206413271,-7.985365103,-8.192597761,-8.565616546
1w8l,-53.205,-5.95,-3.78,-5.728415427,-4.39104,-45.86200652,-7.114987937,-6.755784663,-6.797231195,-6.893939768,-0.676960017
1w8m,-58.527,-4.34,-3.53,-6.6062606849,-4.22483,-44.8828835,-6.576183026,-6.382765878,-6.645260578,-6.534736494,-2.210481689
1rql,-39.828,-2.45,-3.88,-8.2737507816,-3.34247,4.019239097,-6.741969152,-6.18934873,-6.368950367,-6.43802792,-3.799265403
1xgi,-75.454,-7.69,-5.26,-8.9217002819,-7.04764,-60.47602547,-8.220228782,-7.695239381,-7.750501423,-7.888656529,-6.700522621
1d2e,-142.561,-8.92,-9.82,-7.653133106,-8.02146,-62.70254937,-9.076790437,-8.42746144,-8.358383888,-8.620878588,-8.289306335
1w5v,-267.859,-15.69,-15.05,-11.9912591791,-12.21503,-150.1016409,-13.4839383,-13.05565748,-12.33725093,-12.9589489,-11.2596411
1kjr,-103.536,-6.28,-8.23,-7.1897929635,-6.88689,-78.66226705,-7.695239381,-7.515637744,-7.446560191,-7.557084275,-8.372199398
1ejn,-161.732,-9.98,-8.91,-10.3508818825,-9.8135,-61.82814807,-9.670857391,-9.17349901,-9.753750454,-9.532702285,-7.764316934
1oif,-74.286,-6.1,-6.74,-7.9363613908,-5.81279,-26.89698428,-7.308405085,-6.963017321,-6.783415684,-7.018279363,-10.66557415
1rzx,-189.084,-11.76,-12.82,-8.7382863105,-5.49679,-136.4298195,-10.08532271,-8.772849204,-8.372199398,-9.076790437,-5.664359329
1ps3,-100.021,-6.52,-6.36,-6.9650143294,-8.36225,-6.31031498,-7.861025507,-7.363667127,-7.322220596,-7.515637744,-3.149936407
1ur9,-180.5,-12.92,-17.24,-8.8821109591,-10.35058,-106.6171025,-10.52741905,-10.25110883,-10.62412762,-10.472157,-7.971549592
6abp,-49.836,-7.58,-8.89,-6.2364838837,-6.08946,-55.46019988,-7.612346317,-6.990648342,-7.018279363,-7.197881001,-8.786664715
1lzq,-233.123,-13.38,-12.32,-11.4461643706,-9.72327,-133.9963536,-12.14383378,-11.56358234,-11.9089701,-11.86752357,-11.59121336
2b07,-144.868,-10.44,-13.47,-8.5286531474,-7.46646,-110.0439281,-10.12676924,-8.966266352,-8.593247567,-9.228761053,-8.883373289
1pzp,-96.103,-7.68,-7.73,-9.1556014001,-6.96252,-62.04162664,-8.510354504,-8.344568377,-8.026811634,-8.289306335,-4.572933995
1fiv,-314.848,-16.98,-12.64,-10.1592565153,-11.85473,-184.7944872,-15.19706161,-14.34049996,-14.29905343,-14.61681017,-9.104421458
1ohr,-188.193,-9.94,-8.86,-10.5951157167,-10.20036,-128.3822485,-12.32343542,-10.96951538,-11.68792193,-11.66029091,-12.01949419
1pzo,-82.596,-4.96,-2.86,-8.1158268108,-6.44968,-70.98210363,-8.330752866,-7.639977339,-7.695239381,-7.888656529,-4.586749505
1pzi,-77.587,-7.13,-9.53,-6.0007651196,-6.62523,-59.2463472,-8.455092461,-7.405113659,-7.308405085,-7.722870402,-5.830145456
1qbq,-89.301,-9.6,-9.66,-8.7775192004,-6.1954,-76.60522685,-8.620878588,-8.344568377,-8.689956141,-8.551801035,-11.46687376
1bhf,-152.59,-11.76,-14.39,-7.7763909212,-6.17836,-102.8055314,-8.952450842,-8.786664715,-8.800480225,-8.841926757,-6.051193624
1aaq,-211.625,-12.42,-14.22,-10.2927763092,-8.68395,-143.5728145,-11.59121336,-10.34781741,-10.69320517,-10.87280681,-11.60502887
1g2l,-175.089,-10.61,-13.08,-10.7103147965,-9.02901,-86.7847309,-10.44452598,-10.27873986,-9.615595348,-10.11295373,-10.00242964
1urg,-107.574,-7.13,-12.65,-7.1889920031,-6.31833,-76.64516358,-7.778132444,-7.474191212,-7.294589575,-7.515637744,-8.040627145
1g2k,-258.691,-12.82,-11.19,-12.5170538115,-11.88407,-131.3153796,-13.0832885,-11.83989255,-11.63265989,-12.18528031,-10.9971464
1syi,-115.291,-9.47,-8.27,-9.3273995824,-9.13424,-94.39183866,-8.897188799,-8.551801035,-8.482723483,-8.634694099,-7.515637744
1kav,-142.193,-8.9,-11.17,-8.0506132356,-8.99849,-78.01227114,-10.48597251,-9.712303922,-9.007712884,-9.739934943,-8.040627145
2hs2,-182.475,-10.42,-9.34,-10.9532174345,-9.30661,-121.3944847,-10.95569987,-10.19584679,-10.19584679,-10.44452598,-11.48068927
2hs1,-197.72,-10.7,-10.38,-10.6017034127,-9.47048,-129.4289248,-11.28727213,-10.45834149,-10.38926394,-10.70702068,-11.71555295
1v0k,-80.93,-5.5,-7.78,-6.6111590135,-6.28701,-34.94004888,-7.405113659,-7.059725895,-6.9353863,-7.128803448,-7.045910385
1o0m,-103.92,-10.56,-11.61,-5.5442541999,-6.0662,-74.05702653,-8.109704698,-7.557084275,-7.515637744,-7.722870402,-7.114987937
1hlk,-82.415,-4.33,-4.1,-6.7601221068,-7.25032,-23.20063197,-8.468907972,-8.054442655,-7.833394486,-8.123520208,-6.907755279
2sim,-95.867,-8.65,-11.23,-7.0849060447,-8.36716,-87.38375498,-8.095889187,-7.68142387,-7.861025507,-7.874841018,-4.724904611
1yei,-130.714,-10.66,-8.5,-7.1638687336,-7.96324,-73.94630358,-9.187314521,-9.145867989,-8.510354504,-8.952450842,-10.30637088
1f4x,-108.378,-7.53,-9.19,-6.0565100199,-5.78918,-78.7877991,-7.488006722,-7.128803448,-6.963017321,-7.18406549,-7.722870402
2c1p,-116.593,-9.21,-7.56,-10.0195682453,-9.08747,-66.07390588,-9.449809222,-8.883373289,-8.496538993,-8.938635331,-7.460375701
2f1g,-145.051,-8.25,-8.27,-9.7537527172,-7.87739,-74.51538227,-9.104421458,-9.242576563,-9.380731669,-9.242576563,-10.41689496
2i0a,-207.055,-10.36,-8.63,-13.521302939,-9.28342,-127.0157789,-11.28727213,-10.95569987,-10.91425334,-11.05240845,-15.74968204
1ua4,-124.258,-12.43,-14.26,-7.8481764906,-8.73101,-58.86818668,-8.634694099,-8.289306335,-8.151151229,-8.358383888,-5.830145456
1dhj,-126.664,-9.81,-9.39,-9.5785810318,-8.47767,-93.18258064,-9.242576563,-8.938635331,-8.42746144,-8.869557778,-9.049159416
2f81,-197.797,-10.49,-10.45,-10.7650573397,-9.78064,-124.9657365,-11.52213581,-10.61031211,-10.61031211,-10.91425334,-14.53391711
2il2,-223.832,-13.3,-11.5,-10.1471460668,-12.0143,-143.7297049,-12.97276441,-11.61884438,-11.52213581,-12.04712521,-9.809012496
1gi9,-97.222,-9.13,-8.64,-8.9533133783,-7.07778,-29.29340973,-7.957734081,-7.874841018,-8.082073676,-7.971549592,-7.211696511
1rgk,-79.55,-7.88,-8.35,-7.2683622752,-5.83832,-52.29454503,-7.584715296,-7.101172427,-7.004463853,-7.225512022,-5.954485051
1rgl,-69.337,-7.49,-6.83,-7.3005843878,-5.01802,-50.41484709,-7.17024998,-6.824862216,-6.6728916,-6.880124258,-6.120271177
1hpo,-149.565,-7.83,-8.07,-10.7739881462,-10.80092,-104.8836144,-10.98333089,-10.22347781,-10.34781741,-10.52741905,-12.73790073
1gi1,-94.884,-8.59,-9.45,-6.8330457287,-7.53724,-28.35781057,-7.888656529,-7.791947955,-7.999180613,-7.888656529,-7.557084275
1y2g,-67.841,-4.74,-3.68,-6.9871783466,-6.31161,-49.53287122,-9.270207584,-7.874841018,-7.598530807,-8.247859803,-5.636728308
1gi7,-58.037,-6.02,-3.78,-6.948558907,-5.46374,-28.77050781,-7.211696511,-7.197881001,-7.322220596,-7.253143043,-6.230795262
1gi6,-90.061,-9.74,-10.44,-7.7694894607,-7.0259,-35.10723582,-7.902472039,-7.971549592,-8.137335719,-7.999180613,-8.593247567
7upj,-145.033,-7.85,-7.95,-10.1555553903,-10.41652,-112.5574979,-10.81754477,-10.32018639,-10.41689496,-10.51360353,-11.72936846
1gi4,-88.801,-9.1,-9.16,-7.0579364097,-6.92936,-7.372611582,-8.537985525,-8.026811634,-8.206413271,-8.261675314,-9.933352091
1lkk,-159.795,-9.91,-11.78,-7.8219897708,-6.04839,-106.6184565,-9.394547179,-9.132052479,-9.035343905,-9.187314521,-9.463624732
1hpv,-184.363,-10.29,-10.24,-10.976620108,-9.12185,-128.9479852,-11.41161172,-10.26492434,-10.23729332,-10.63794313,-12.73790073
1w3j,-67.093,-6.06,-6.72,-7.4686098342,-4.89904,-38.05682924,-7.294589575,-6.824862216,-6.769600173,-6.963017321,-8.731402673
1hps,-240.832,-13.02,-12.35,-11.3508827364,-9.98872,-153.7553678,-12.88987135,-11.95041663,-12.00567867,-12.28198889,-12.73790073
1qxk,-165.655,-9.37,-13.07,-7.9390769355,-8.45316,-96.16622164,-9.739934943,-9.560333306,-8.91100431,-9.40836269,-6.976832832
1lah,-75.055,-8.2,-8.99,-7.791709968,-5.65349,-66.26721257,-7.322220596,-7.087356916,-6.9353863,-7.114987937,-10.38926394
1ksn,-175.281,-10.43,-12.29,-11.1040876991,-10.00556,-78.62999804,-10.87280681,-10.56886558,-9.712303922,-10.38926394,-12.98657992
1abf,-57.354,-7.77,-8.58,-6.258713676,-6.54436,-63.47062811,-7.957734081,-7.239327532,-7.488006722,-7.557084275,-7.488006722
1dqx,-109.493,-11.66,-16.56,-7.4687408608,-8.65999,-61.94742307,-9.366916158,-8.607063078,-8.634694099,-8.869557778,-15.26613917
1amw,-93.409,-7.87,-8.08,-6.8367416643,-5.80957,-45.59620526,-7.570899786,-7.322220596,-7.101172427,-7.336036106,-6.272241793
1li3,-53.177,-7.6,-7.94,-6.5864967956,-6.01335,-56.04261255,-7.736685912,-7.349851617,-7.211696511,-7.43274468,-5.871591987
1k1n,-138.275,-10.23,-11.58,-10.7793203311,-6.74736,-76.89395731,-9.518886774,-8.496538993,-8.247859803,-8.759033694,-9.422178201
1c5c,-92.016,-10.56,-9.82,-9.18815242,-8.69531,-66.60922698,-9.919536581,-8.883373289,-8.66232512,-9.1596835,-9.615595348
1v2q,-103.893,-8.33,-8.38,-8.9064644673,-5.59686,-63.95179805,-8.095889187,-7.41892917,-7.391298149,-7.639977339,-5.70580586
1izi,-243.788,-13.93,-13.24,-11.1918976289,-9.79369,-155.9800984,-12.50303706,-11.78463051,-12.19909582,-12.15764929,-9.104421458
1c5z,-69.327,-8.5,-8.51,-6.4214731884,-4.9631,-35.85266662,-6.976832832,-6.9353863,-7.253143043,-7.059725895,-5.540019734
1c5y,-74.108,-8.52,-7.12,-7.001802525,-5.91538,-57.22529689,-7.488006722,-7.253143043,-7.391298149,-7.377482638,-5.802514434
1c5x,-81.867,-7.6,-6.34,-6.9518691252,-5.62534,-55.93897693,-8.095889187,-7.43274468,-7.861025507,-7.791947955,-9.228761053
1dqn,-114.092,-9.3,-9.07,-7.0218953717,-7.23738,-71.98028461,-9.076790437,-8.192597761,-8.151151229,-8.468907972,-11.05240845
2hb3,-205.585,-11.23,-11.49,-14.3229818918,-9.93319,-144.5505307,-11.49450478,-10.98333089,-10.7346517,-11.06622396,-15.68060448
1c5s,-71.214,-8.59,-8.28,-6.5229794944,-5.388,-38.17091363,-7.322220596,-7.253143043,-7.488006722,-7.349851617,-8.289306335
1v2w,-125.618,-8.91,-10.3,-9.2137226063,-6.17915,-64.74261382,-8.42746144,-8.206413271,-8.192597761,-8.275490824,-5.540019734
1c5q,-72.468,-7.15,-6.45,-6.4409766105,-5.78434,-59.56898341,-8.054442655,-7.377482638,-7.750501423,-7.722870402,-8.786664715
1c5p,-64.867,-8.6,-8.19,-6.4913696063,-5.40224,-37.90843383,-6.990648342,-7.032094874,-7.266958553,-7.101172427,-6.465658941
1c5t,-71.78,-9.72,-7.57,-6.6777454489,-6.00508,-55.26347611,-7.460375701,-7.266958553,-7.336036106,-7.349851617,-5.664359329
1oba,-41.302,-5.39,-7.23,-4.7508377276,-1.80954,-29.59052338,-5.69199035,-5.567650755,-5.374233607,-5.553835244,-3.370984576
